"Time (s),""Acceleration x (m/s^2)"",""Acceleration y (m/s^2)"",""Acceleration z (m/s^2)"",""Absolute acceleration (m/s^2)"""
"0.000000000E0,-2.756271362E0,1.854431152E0,8.869064331E0,9.470810358E0"
"3.936767000E-3,-2.660491943E0,1.854431152E0,8.888214111E0,9.461367891E0"
"7.812500000E-3,-2.622192383E0,1.816131592E0,8.945678711E0,9.497336177E0"
"1.174926700E-2,-2.583877563E0,1.758666992E0,8.983978271E0,9.512160556E0"
"1.565551700E-2,-2.564727783E0,1.720367432E0,9.079757690E0,9.590593955E0"
"1.956176700E-2,-2.488113403E0,1.720367432E0,9.213821411E0,9.697673814E0"
"2.349853500E-2,-2.468963623E0,1.682052612E0,9.386215210E0,9.850183670E0"
"2.737426700E-2,-2.430648804E0,1.643753052E0,9.462829590E0,9.907326660E0"
"3.128051700E-2,-2.392349243E0,1.586288452E0,9.481979370E0,9.906945984E0"
"3.518676700E-2,-2.354034424E0,1.547973633E0,9.424514771E0,9.836624375E0"
"3.909301700E-2,-2.315734863E0,1.509674072E0,9.405364990E0,9.803195110E0"
"4.302978500E-2,-2.296585083E0,1.490524292E0,9.443664551E0,9.832536085E0"
"4.693603500E-2,-2.296585083E0,1.452209473E0,9.462829590E0,9.845220122E0"
"5.084228500E-2,-2.277420044E0,1.509674072E0,9.462829590E0,9.849411237E0"
"5.474853500E-2,-2.200805664E0,1.509674072E0,9.405364990E0,9.776684099E0"
"5.865478500E-2,-2.200805664E0,1.509674072E0,9.405364990E0,9.776684099E0"
"6.256103500E-2,-2.219970703E0,1.528823853E0,9.386215210E0,9.765582843E0"
"6.646728500E-2,-2.258270264E0,1.567138672E0,9.386215210E0,9.780426584E0"
"7.037353500E-2,-2.296585083E0,1.586288452E0,9.328750610E0,9.737361144E0"
"7.427978500E-2,-2.315734863E0,1.624588013E0,9.271286011E0,9.693227453E0"
"7.821655300E-2,-2.296585083E0,1.624588013E0,9.252136230E0,9.670347154E0"
"8.212280300E-2,-2.277420044E0,1.605438232E0,9.232986450E0,9.644278758E0"
"8.602905300E-2,-2.219970703E0,1.547973633E0,9.271286011E0,9.658221191E0"
